landmark_index,min_alpha,min_theta,row,column
1,-90.51,-3.14,1,1
2,-90.51,-2.36,2,1
3,-90.51,-1.57,3,1
4,-90.51,-0.79,4,1
5,-90.51,0,5,1
6,-90.51,0.79,6,1
7,-90.51,1.57,7,1
8,-90.51,2.36,8,1
9,-80.99,-3.14,1,2
10,-80.99,-2.36,2,2
11,-80.99,-1.57,3,2
12,-80.99,-0.79,4,2
13,-80.99,0,5,2
14,-80.99,0.79,6,2
15,-80.99,1.57,7,2
16,-80.99,2.36,8,2
17,-71.46,-3.14,1,3
18,-71.46,-2.36,2,3
19,-71.46,-1.57,3,3
20,-71.46,-0.79,4,3
21,-71.46,0,5,3
22,-71.46,0.79,6,3
23,-71.46,1.57,7,3
24,-71.46,2.36,8,3
25,-61.93,-3.14,1,4
26,-61.93,-2.36,2,4
27,-61.93,-1.57,3,4
28,-61.93,-0.79,4,4
29,-61.93,0,5,4
30,-61.93,0.79,6,4
31,-61.93,1.57,7,4
32,-61.93,2.36,8,4
33,-52.4,-3.14,1,5
34,-52.4,-2.36,2,5
35,-52.4,-1.57,3,5
36,-52.4,-0.79,4,5
37,-52.4,0,5,5
38,-52.4,0.79,6,5
39,-52.4,1.57,7,5
40,-52.4,2.36,8,5
41,-42.88,-3.14,1,6
42,-42.88,-2.36,2,6
43,-42.88,-1.57,3,6
44,-42.88,-0.79,4,6
45,-42.88,0,5,6
46,-42.88,0.79,6,6
47,-42.88,1.57,7,6
48,-42.88,2.36,8,6
49,-33.35,-3.14,1,7
50,-33.35,-2.36,2,7
51,-33.35,-1.57,3,7
52,-33.35,-0.79,4,7
53,-33.35,0,5,7
54,-33.35,0.79,6,7
55,-33.35,1.57,7,7
56,-33.35,2.36,8,7
57,-23.82,-3.14,1,8
58,-23.82,-2.36,2,8
59,-23.82,-1.57,3,8
60,-23.82,-0.79,4,8
61,-23.82,0,5,8
62,-23.82,0.79,6,8
63,-23.82,1.57,7,8
64,-23.82,2.36,8,8
65,-14.29,-3.14,1,9
66,-14.29,-2.36,2,9
67,-14.29,-1.57,3,9
68,-14.29,-0.79,4,9
69,-14.29,0,5,9
70,-14.29,0.79,6,9
71,-14.29,1.57,7,9
72,-14.29,2.36,8,9
73,-4.76,-3.14,1,10
74,-4.76,-2.36,2,10
75,-4.76,-1.57,3,10
76,-4.76,-0.79,4,10
77,-4.76,0,5,10
78,-4.76,0.79,6,10
79,-4.76,1.57,7,10
80,-4.76,2.36,8,10
81,4.76,-3.14,1,11
82,4.76,-2.36,2,11
83,4.76,-1.57,3,11
84,4.76,-0.79,4,11
85,4.76,0,5,11
86,4.76,0.79,6,11
87,4.76,1.57,7,11
88,4.76,2.36,8,11
89,14.29,-3.14,1,12
90,14.29,-2.36,2,12
91,14.29,-1.57,3,12
92,14.29,-0.79,4,12
93,14.29,0,5,12
94,14.29,0.79,6,12
95,14.29,1.57,7,12
96,14.29,2.36,8,12
97,23.82,-3.14,1,13
98,23.82,-2.36,2,13
99,23.82,-1.57,3,13
100,23.82,-0.79,4,13
101,23.82,0,5,13
102,23.82,0.79,6,13
103,23.82,1.57,7,13
104,23.82,2.36,8,13
105,33.35,-3.14,1,14
106,33.35,-2.36,2,14
107,33.35,-1.57,3,14
108,33.35,-0.79,4,14
109,33.35,0,5,14
110,33.35,0.79,6,14
111,33.35,1.57,7,14
112,33.35,2.36,8,14
113,42.88,-3.14,1,15
114,42.88,-2.36,2,15
115,42.88,-1.57,3,15
116,42.88,-0.79,4,15
117,42.88,0,5,15
118,42.88,0.79,6,15
119,42.88,1.57,7,15
120,42.88,2.36,8,15
121,52.4,-3.14,1,16
122,52.4,-2.36,2,16
123,52.4,-1.57,3,16
124,52.4,-0.79,4,16
125,52.4,0,5,16
126,52.4,0.79,6,16
127,52.4,1.57,7,16
128,52.4,2.36,8,16
129,61.93,-3.14,1,17
130,61.93,-2.36,2,17
131,61.93,-1.57,3,17
132,61.93,-0.79,4,17
133,61.93,0,5,17
134,61.93,0.79,6,17
135,61.93,1.57,7,17
136,61.93,2.36,8,17
137,71.46,-3.14,1,18
138,71.46,-2.36,2,18
139,71.46,-1.57,3,18
140,71.46,-0.79,4,18
141,71.46,0,5,18
142,71.46,0.79,6,18
143,71.46,1.57,7,18
144,71.46,2.36,8,18
145,80.99,-3.14,1,19
146,80.99,-2.36,2,19
147,80.99,-1.57,3,19
148,80.99,-0.79,4,19
149,80.99,0,5,19
150,80.99,0.79,6,19
151,80.99,1.57,7,19
152,80.99,2.36,8,19
