sample_index,landmark_index,pred,mm,mw,ww,wm
172,1,0,0,35,43,0
172,2,0,0,35,43,0
172,3,0,0,35,43,0
172,4,1,35,0,43,0
172,5,1,35,0,43,0
172,6,1,35,0,43,0
172,7,0,0,35,43,0
172,8,0,0,35,43,0
172,9,1,35,0,43,0
172,10,1,35,0,43,0
172,11,1,34,1,41,2
172,12,1,35,0,43,0
172,13,1,34,1,43,0
172,14,1,34,1,38,5
172,15,1,34,1,43,0
172,16,0,0,35,43,0
172,17,1,34,1,38,5
172,18,1,34,1,40,3
172,19,1,31,4,28,15
172,20,1,32,3,25,18
172,21,1,32,3,39,4
172,22,1,31,4,43,0
172,23,1,33,2,43,0
172,24,1,34,1,42,1
172,25,1,29,6,32,11
172,26,1,29,6,35,8
172,27,0,26,9,38,5
172,28,1,26,9,38,5
172,29,1,26,9,37,6
172,30,1,24,11,35,8
172,31,1,26,9,42,1
172,32,1,31,4,30,13
172,33,1,26,9,36,7
172,34,0,26,9,39,4
172,35,1,26,9,40,3
172,36,0,20,15,38,5
172,37,1,27,8,36,7
172,38,1,19,16,42,1
172,39,0,20,15,38,5
172,40,1,24,11,40,3
172,41,1,28,7,35,8
172,42,1,24,11,39,4
172,43,1,29,6,23,20
172,44,1,10,25,40,3
172,45,1,21,14,35,8
172,46,1,26,9,33,10
172,47,1,24,11,36,7
172,48,1,28,7,35,8
172,49,1,23,12,38,5
172,50,1,24,11,36,7
172,51,0,25,10,35,8
172,52,1,20,15,36,7
172,53,1,26,9,39,4
172,54,1,27,8,26,17
172,55,1,17,18,39,4
172,56,1,28,7,36,7
172,57,1,21,14,38,5
172,58,1,28,7,34,9
172,59,1,20,15,37,6
172,60,1,20,15,40,3
172,61,1,24,11,35,8
172,62,1,26,9,36,7
172,63,1,22,13,32,11
172,64,1,25,10,32,11
172,65,1,26,9,40,3
172,66,1,26,9,33,10
172,67,1,17,18,36,7
172,68,1,14,21,36,7
172,69,1,23,12,39,4
172,70,1,20,15,37,6
172,71,1,25,10,33,10
172,72,1,19,16,36,7
172,73,1,22,13,37,6
172,74,1,15,20,42,1
172,75,1,14,21,42,1
172,76,1,14,21,34,9
172,77,1,26,9,33,10
172,78,1,23,12,35,8
172,79,1,20,15,37,6
172,80,1,23,12,38,5
172,81,1,20,15,39,4
172,82,1,18,17,38,5
172,83,1,16,19,39,4
172,84,1,21,14,35,8
172,85,1,29,6,26,17
172,86,1,20,15,36,7
172,87,1,25,10,35,8
172,88,1,28,7,34,9
172,89,1,20,15,40,3
172,90,1,22,13,35,8
172,91,1,24,11,34,9
172,92,1,21,14,35,8
172,93,1,21,14,36,7
172,94,1,26,9,35,8
172,95,1,25,10,36,7
172,96,1,22,13,39,4
172,97,1,25,10,37,6
172,98,1,17,18,42,1
172,99,1,23,12,36,7
172,100,1,21,14,40,3
172,101,1,22,13,38,5
172,102,1,27,8,35,8
172,103,1,21,14,36,7
172,104,1,31,4,34,9
172,105,1,32,3,38,5
172,106,1,26,9,36,7
172,107,1,18,17,39,4
172,108,1,17,18,41,2
172,109,1,27,8,36,7
172,110,1,17,18,42,1
172,111,1,25,10,37,6
172,112,1,28,7,38,5
172,113,1,31,4,34,9
172,114,1,29,6,36,7
172,115,1,29,6,39,4
172,116,1,28,7,37,6
172,117,1,25,10,39,4
172,118,1,21,14,39,4
172,119,1,28,7,27,16
172,120,1,32,3,30,13
172,121,1,32,3,37,6
172,122,1,33,2,33,10
172,123,1,30,5,36,7
172,124,1,30,5,39,4
172,125,1,28,7,35,8
172,126,1,27,8,34,9
172,127,1,25,10,40,3
172,128,1,34,1,23,20
172,129,1,34,1,43,0
172,130,1,34,1,40,3
172,131,1,33,2,27,16
172,132,1,33,2,33,10
172,133,1,32,3,41,2
172,134,1,33,2,22,21
172,135,1,34,1,37,6
172,136,1,34,1,43,0
172,137,1,35,0,42,1
172,138,1,35,0,43,0
172,139,1,35,0,43,0
172,140,1,35,0,42,1
172,141,1,35,0,43,0
172,142,1,35,0,43,0
172,143,1,35,0,43,0
172,144,1,35,0,42,1
172,145,0,0,35,43,0
172,146,0,0,35,43,0
172,147,1,35,0,43,0
172,148,1,35,0,43,0
172,149,1,35,0,43,0
172,150,1,35,0,43,0
172,151,1,35,0,43,0
172,152,1,35,0,43,0
