landmark_index,x,y
1,1,1
2,2,1
3,3,1
4,4,1
5,5,1
6,6,1
7,7,1
8,8,1
9,1,2
10,2,2
11,3,2
12,4,2
13,5,2
14,6,2
15,7,2
16,8,2
17,1,3
18,2,3
19,3,3
20,4,3
21,5,3
22,6,3
23,7,3
24,8,3
25,1,4
26,2,4
27,3,4
28,4,4
29,5,4
30,6,4
31,7,4
32,8,4
33,1,5
34,2,5
35,3,5
36,4,5
37,5,5
38,6,5
39,7,5
40,8,5
41,1,6
42,2,6
43,3,6
44,4,6
45,5,6
46,6,6
47,7,6
48,8,6
49,1,7
50,2,7
51,3,7
52,4,7
53,5,7
54,6,7
55,7,7
56,8,7
57,1,8
58,2,8
59,3,8
60,4,8
61,5,8
62,6,8
63,7,8
64,8,8
65,1,9
66,2,9
67,3,9
68,4,9
69,5,9
70,6,9
71,7,9
72,8,9
73,1,10
74,2,10
75,3,10
76,4,10
77,5,10
78,6,10
79,7,10
80,8,10
81,1,11
82,2,11
83,3,11
84,4,11
85,5,11
86,6,11
87,7,11
88,8,11
89,1,12
90,2,12
91,3,12
92,4,12
93,5,12
94,6,12
95,7,12
96,8,12
97,1,13
98,2,13
99,3,13
100,4,13
101,5,13
102,6,13
103,7,13
104,8,13
105,1,14
106,2,14
107,3,14
108,4,14
109,5,14
110,6,14
111,7,14
112,8,14
113,1,15
114,2,15
115,3,15
116,4,15
117,5,15
118,6,15
119,7,15
120,8,15
121,1,16
122,2,16
123,3,16
124,4,16
125,5,16
126,6,16
127,7,16
128,8,16
129,1,17
130,2,17
131,3,17
132,4,17
133,5,17
134,6,17
135,7,17
136,8,17
137,1,18
138,2,18
139,3,18
140,4,18
141,5,18
142,6,18
143,7,18
144,8,18
145,1,19
146,2,19
147,3,19
148,4,19
149,5,19
150,6,19
151,7,19
152,8,19
